deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul
hp1,HAMMILL,0,0,CANADA,0,,,07/13/2004,04/12/2005,732141
hp2,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,05/23/2004,10/23/2005,732090
MH1,HAMMILL,0,0,CANADA,0,,,07/09/2003,02/15/2004,731771
MH2,HAMMILL,0,0,CANADA,0,,,08/15/2004,05/04/2005,732174
MH3,HAMMILL,0,0,CANADA,0,,,08/15/2007,11/12/2007,733269
MH4,HAMMILL,0,0,CANADA,0,,,03/13/2008,04/04/2009,733480
MH5,HAMMILL,0,0,CANADA,0,,,08/17/2008,01/22/2009,733637
MH6,HAMMILL,0,0,CANADA,0,,,08/10/2009,01/06/2010,733995
rs11,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,10/29/2012,12/30/2012,735171
rs18,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,09/05/2013,10/24/2013,735482
rs28,HAMMILL,1,0,CANADA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/16/2016,03/17/2016,736405
rs3,HAMMILL,0,0,CANADA,0,,,01/24/2005,03/26/2009,732336
rs6,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,10/17/2010,06/06/2011,734428
rs9,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,10/29/2011,04/30/2012,734805
tu34,HAMMILL,0,0,CANADA,0,,,08/15/2006,10/17/2009,732904
pv52,LAVAL,1,0,CANADA,0,,,NaT,NaT,NaN
ct20,NMML,1,1,CANADA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/03/2006,12/01/2006,732953
vc03,OTN,1,0,CANADA,0,,,NaT,NaT,NaN
vc04,OTN,1,0,CANADA,0,,,NaT,NaT,NaN
ct18,STENSON,1,1,CANADA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,07/01/2007,11/01/2009,733224
ct121,GAO,1,1,CHINA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/01/2016,12/01/2016,736361
ct133,GAO,1,1,CHINA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/01/2017,NaT,736727
ct105,GAO,1,1,CHINA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/01/2013,NaT,735569
MY01,Aarhus,1,0,DENMARK,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/30/2017,11/01/2017,736784
wd09,CNRSPEPS,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/18/2017,NaT,736744
wd10,CNRSPEPS,1,1,FRANCE,0,,,11/19/2017,NaT,737018
wd11,CNRSPEPS,1,0,FRANCE,0,,,12/02/2018,NaT,737396
ct120,GUINET,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,11/01/2015,06/21/2016,736269
ct132,GUINET,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/20/2016,11/15/2016,736623
ct139,GUINET,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/01/2017,NaT,736969
ft14,GUINET,1,1,FRANCE,0,,,10/29/2013,02/01/2014,735536
ft22,GUINET,1,1,FRANCE,0,,,10/16/2018,NaT,737349
ft23,GUINET,1,1,FRANCE,0,,,10/20/2018,NaT,737353
ct11,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,08/10/2005,12/14/2005,732534
ct112,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/19/2014,02/01/2015,735891
ct117,GUINET,1,1,FRANCE,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/01/2015,08/01/2015,736024
ct131,GUINET,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/20/2016,11/30/2016,736623
ct16,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/15/2006,07/01/2006,732692
ct23,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/01/2006,01/05/2008,733012
ct23x,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2009,09/01/2009,733774
ct26,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/12/2007,03/25/2008,733085
ct3,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/24/2004,08/10/2004,732001
ct38e,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/20/2007,10/01/2008,733396
ct62,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/01/2010,01/01/2018,734170
ct7,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,01/18/2005,01/01/2018,732330
ct82,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/10/2011,02/21/2012,734786
ct84,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/20/2012,03/14/2016,734888
ct95,GUINET,1,1,FRANCE,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,10/30/2012,01/20/2013,735172
ct97,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,03/02/2013,NaT,735295
ft01,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,12/22/2007,07/01/2008,733398
ft02,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/18/2009,10/01/2009,733791
ft03,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/01/2009,04/01/2010,734047
ft04,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/08/2010,01/01/2018,734177
ft06,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/26/2010,02/01/2011,734437
ft07,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/24/2011,02/21/2011,734527
ft10,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/10/2011,01/07/2012,734786
ft11,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/07/2012,04/02/2015,734906
ft12,GUINET,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,10/26/2012,02/01/2013,735168
ft18,GUINET,1,1,FRANCE,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/20/2016,01/01/2017,736623
ft15,IPHC,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,07/31/2013,02/14/2014,735446
ft17,IPHC,1,1,FRANCE,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,03/28/2014,09/01/2015,735686
ct113,AWI,1,1,GERMANY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/16/2016,NaT,736345
ct21,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,03/24/2007,11/01/2007,733125
ct35,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,10/26/2007,03/01/2008,733341
ct35b,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/12/2008,09/01/2008,733450
ct44,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,11/10/2008,02/01/2009,733722
ct68,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,01/10/2010,05/01/2010,734148
ct87,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,05/04/2012,01/01/2013,734993
ct99,AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/27/2013,11/26/2013,735292
wd06,AWI,1,1,GERMANY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/20/2014,11/30/2014,735619
wd07,AWI,1,1,GERMANY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/20/2016,NaT,736349
ct102,BESTER-AWI,1,1,GERMANY,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,11/05/2013,06/10/2014,735543
ct54,BESTER-AWI,1,1,GERMANY,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,03/18/2010,12/31/2010,734215
ct72,IFMGEOMA,0,0,GERMANY,0,,,NaT,NaT,NaN
NW01,GINR,0,0,GRONLAND,0,,,08/24/2016,03/01/2017,736566
NW02,GINR,0,0,GRONLAND,0,,,04/05/2017,NaT,736790
rs32,GINR,1,0,GRONLAND,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/20/2017,NaT,736927
ct146,HOCHSCHEID,1,0,ITALY,0,,,05/21/2018,NaT,737201
ft20,HOCHSCHEID,1,0,ITALY,0,,,11/01/2016,06/01/2017,736635
ct80,OHSHIMA,1,0,JAPAN,0,,,02/16/2011,08/01/2014,734550
hg43G,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg43LT,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg43LZ,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg46G,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg46LT,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg46LZ,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg51,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg51x,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
pv54L,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
pv60L,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
pv61,IMARES,0,0,NETHERLANDS,0,,,NaT,NaT,NaN
hg37,NINA,1,0,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/22/2012,03/01/2013,735164
hg37g,NINA,1,0,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/22/2012,11/01/2013,735164
hg42,NINA,1,0,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,09/12/2015,11/19/2018,736219
ct138,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/10/2017,06/01/2018,736917
ct141,NPOLAR,1,0,NORWAY,0,,,02/01/2018,NaT,737092
ft25,NPOLAR,1,0,NORWAY,0,,,10/31/2018,NaT,737364
NP04c,NPOLAR,0,0,NORWAY,0,,,07/19/2017,NaT,736895
ag01,NPOLAR,0,0,NORWAY,0,,,01/01/2016,10/05/2016,736330
bv3,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,01/10/2015,11/01/2015,735974
ct103,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/11/2013,05/16/2016,735426
ct130,NPOLAR,1,0,NORWAY,0,,,07/24/2016,05/01/2017,736535
ct32,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/14/2007,06/01/2008,733237
ct32x,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/21/2008,08/01/2008,733488
ct34,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2008,01/01/2009,733408
ct52,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,09/05/2009,07/30/2010,734021
ct69,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,09/03/2010,02/01/2011,734384
ct81,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/19/2011,06/10/2012,734703
ct92,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/18/2012,03/14/2016,735099
ct93,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/06/2012,06/01/2013,735087
ct94,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/15/2012,06/01/2013,735096
ft05,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/18/2010,03/16/2011,734337
ft08,NPOLAR,1,1,NORWAY,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/30/2011,03/01/2012,734714
NP01,NPOLAR,0,1,NORWAY,0,,,NaT,NaT,NaN
NP02,NPOLAR,0,0,NORWAY,0,,,08/23/2013,12/01/2013,735469
pv34,NPOLAR,0,0,NORWAY,0,,,NaT,NaT,NaN
ct33,BESTER,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/08/2008,11/06/2008,733446
ct42,BESTER,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,04/02/2008,08/01/2008,733500
ct50,BESTER,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,02/09/2009,12/01/2009,733813
ct90,BESTER,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,11/03/2012,12/10/2012,735176
ct35x,BESTER-AWI,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,11/02/2008,03/01/2009,733714
ct73,BESTER-AWI,1,1,SOUTH-AFRICA,0,MEOP-CTD_2015-07-01,MEOP-CTD_2018-04-10,01/15/2011,04/01/2011,734518
sa01,BESTER-AWI,0,1,SOUTH-AFRICA,0,,,NaT,NaT,NaN
hg47,ROQUET,1,1,SWEDEN,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/30/2016,NaT,736419
